"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Чандмань","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","3"
"Чандмань","Өмчлөх эрхийн эсрэг","2","2"
"Чандмань","Залилах","2","1"
"Чандмань","Хөрөнгө завших","","1"
"Чандмань","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Шарга","Улсын дүн","2","8"
"Шарга","Хүний амьд явах эрхийн эсрэг","","1"
"Шарга","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Шарга","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Шарга","Өмчлөх эрхийн эсрэг","1","5"
"Шарга","Хулгайлах","","2"
"Шарга","Мал хулгайлах","","3"
"Шарга","Залилах","1",""
"Эрдэнэ","Улсын дүн","3","2"
"Эрдэнэ","Хүний амьд явах эрхийн эсрэг","1","0"
"Эрдэнэ","Хүнийг  санаатай алах","1",""
"Эрдэнэ","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Эрдэнэ","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Эрдэнэ","Өмчлөх эрхийн эсрэг","2","1"
"Эрдэнэ","Хулгайлах","1",""
"Эрдэнэ","Мал хулгайлах","","1"
"Эрдэнэ","Залилах","1",""
"Бусад","Улсын дүн","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Баян-Өлгий","Улсын дүн","318","306"
"Баян-Өлгий","Үндэсний аюулгүй байдлын эсрэг","4",""
"Баян-Өлгий","Хүний амьд явах эрхийн эсрэг","4","4"
"Баян-Өлгий","Хүнийг  санаатай алах","2","3"
"Баян-Өлгий","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2",""
"Баян-Өлгий","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","109","88"
"Баян-Өлгий","Өмчлөх эрхийн эсрэг","131","139"
"Баян-Өлгий","Хулгайлах","67","55"
"Баян-Өлгий","Мал хулгайлах","23","13"
"Баян-Өлгий","Дээрэмдэх","2","4"
"Баян-Өлгий","Залилах","18","38"
"Баян-Өлгий","Хөрөнгө завших","12","14"
"Баян-Өлгий","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Баян-Өлгий","Эрүүл мэндийн эсрэг","0",""
"Баян-Өлгий","Хүрээлэн байгаа орчны эсрэг","6","19"
"Баян-Өлгий","ХАБТХАЖ-ын эсрэг гэмт хэрэг","18","22"
"Баян-Өлгий","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","8","9"
"Баян-Өлгий","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","3","1"
"Баян-Өлгий","Хүүхдийн эсрэг  гэмт хэрэг","","1"
"Баян-Өлгий","Эдийн засгийн гэмт хэрэг","1",""
"Баян-Өлгий","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","10","2"
"Баян-Өлгий","Авлигын эсрэг","13","7"
"Баян-Өлгий","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","10","14"
"Өлгий","Улсын дүн","175","167"
"Өлгий","Хүний амьд явах эрхийн эсрэг","","1"
"Өлгий","Хүнийг  санаатай алах","","1"
"Өлгий","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","53","52"
"Өлгий","Өмчлөх эрхийн эсрэг","78","82"
"Өлгий","Хулгайлах","45","31"
"Өлгий","Мал хулгайлах","3","2"
"Өлгий","Дээрэмдэх","2","4"
"Өлгий","Залилах","16","30"
"Өлгий","Хөрөнгө завших","8","4"
"Өлгий","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Өлгий","Хүрээлэн байгаа орчны эсрэг","","2"
"Өлгий","ХАБТХАЖ-ын эсрэг гэмт хэрэг","10","9"
"Өлгий","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","4","6"
"Өлгий","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","2","1"
"Өлгий","Хүүхдийн эсрэг  гэмт хэрэг","","1"
"Өлгий","Эдийн засгийн гэмт хэрэг","1",""
"Өлгий","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","9","2"
"Өлгий","Авлигын эсрэг","9","2"
"Өлгий","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","8","9"
"Алтай","Улсын дүн","6","13"
"Алтай","Хүний амьд явах эрхийн эсрэг","1","1"
"Алтай","Хүнийг  санаатай алах","1","0"
"Алтай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","5"
"Алтай","Өмчлөх эрхийн эсрэг","3","2"
"Алтай","Мал хулгайлах","2",""
"Алтай","Хөрөнгө завших","1","1"
"Алтай","Хүрээлэн байгаа орчны эсрэг","","2"
"Алтай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","2"
"Алтай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Алтанцөгц","Улсын дүн","3","7"
"Алтанцөгц","Хүний амьд явах эрхийн эсрэг","","1"
"Алтанцөгц","Хүнийг  санаатай алах","","1"
"Алтанцөгц","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","0"
"Алтанцөгц","Өмчлөх эрхийн эсрэг","1","3"
"Алтанцөгц","Хулгайлах","1","2"
"Алтанцөгц","Залилах","","1"
"Алтанцөгц","Хүрээлэн байгаа орчны эсрэг","","3"
"Баяннуур","Улсын дүн","18","13"
"Баяннуур","Хүний амьд явах эрхийн эсрэг","","0"
"Баяннуур","Хүнийг  санаатай алах","","0"
"Баяннуур","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","9","3"
"Баяннуур","Өмчлөх эрхийн эсрэг","5","5"
"Баяннуур","Хулгайлах","4","3"
"Баяннуур","Мал хулгайлах","","1"
"Баяннуур","Хөрөнгө завших","1","1"
"Баяннуур","Хүрээлэн байгаа орчны эсрэг","2","4"
"Баяннуур","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Баяннуур","Авлигын эсрэг","2",""
"Бугат","Улсын дүн","17","14"
"Бугат","Хүний амьд явах эрхийн эсрэг","1",""
"Бугат","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Бугат","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","2"
"Бугат","Өмчлөх эрхийн эсрэг","6","5"
"Бугат","Хулгайлах","","1"
"Бугат","Мал хулгайлах","5","3"
"Бугат","Хөрөнгө завших","1","1"
"Бугат","Хүрээлэн байгаа орчны эсрэг","3",""
"Бугат","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","3"
"Бугат","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1",""
"Бугат","Авлигын эсрэг","","2"
"Бугат","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","2"
"Булган","Улсын дүн","5","6"
"Булган","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","2"
"Булган","Өмчлөх эрхийн эсрэг","1","2"
"Булган","Хөрөнгө завших","1","1"
"Булган","Хүрээлэн байгаа орчны эсрэг","1","2"
"Буянт","Улсын дүн","12","8"
"Буянт","Хүний амьд явах эрхийн эсрэг","","1"
"Буянт","Хүнийг  санаатай алах","","1"
"Буянт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","2"
"Буянт","Өмчлөх эрхийн эсрэг","5","3"
"Буянт","Хулгайлах","3",""
"Буянт","Мал хулгайлах","2",""
"Буянт","Хөрөнгө завших","","3"
"Буянт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","1"
"Буянт","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Буянт","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Дэлүүн","Улсын дүн","7","5"
"Дэлүүн","Үндэсний аюулгүй байдлын эсрэг","1",""
"Дэлүүн","Хүний амьд явах эрхийн эсрэг","","0"
"Дэлүүн","Хүнийг  санаатай алах","","0"
"Дэлүүн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","2"
"Дэлүүн","Өмчлөх эрхийн эсрэг","1","2"
"Дэлүүн","Хулгайлах","1",""
"Дэлүүн","Мал хулгайлах","","1"
"Дэлүүн","Залилах","","1"
"Дэлүүн","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Дэлүүн","Авлигын эсрэг","","1"
"Ногооннуур","Улсын дүн","26","21"
"Ногооннуур","Үндэсний аюулгүй байдлын эсрэг","2",""
"Ногооннуур","Хүний амьд явах эрхийн эсрэг","1",""
"Ногооннуур","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Ногооннуур","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","10","5"
"Ногооннуур","Өмчлөх эрхийн эсрэг","10","13"
"Ногооннуур","Хулгайлах","3","8"
"Ногооннуур","Мал хулгайлах","5","4"
"Ногооннуур","Хөрөнгө завших","","1"
"Ногооннуур","Хүрээлэн байгаа орчны эсрэг","","1"
"Ногооннуур","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","2"
"Ногооннуур","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Ногооннуур","Авлигын эсрэг","1",""
"Сагсай","Улсын дүн","11","7"
"Сагсай","Үндэсний аюулгүй байдлын эсрэг","1",""
"Сагсай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","3"
"Сагсай","Өмчлөх эрхийн эсрэг","5","1"
"Сагсай","Хулгайлах","4",""
"Сагсай","Залилах","1",""
"Сагсай","Хөрөнгө завших","","1"
"Сагсай","Хүрээлэн байгаа орчны эсрэг","","2"
"Сагсай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Сагсай","Авлигын эсрэг","","1"
"Толбо","Улсын дүн","10","7"
"Толбо","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Толбо","Өмчлөх эрхийн эсрэг","5","2"
"Толбо","Хулгайлах","3",""
"Толбо","Мал хулгайлах","1","1"
"Толбо","Залилах","1","1"
"Толбо","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","3"
"Толбо","Авлигын эсрэг","1",""
"Толбо","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Улаанхус","Улсын дүн","10","12"
"Улаанхус","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","0"
"Улаанхус","Өмчлөх эрхийн эсрэг","6","9"
"Улаанхус","Хулгайлах","","2"
"Улаанхус","Мал хулгайлах","4","1"
"Улаанхус","Залилах","","5"
"Улаанхус","Хөрөнгө завших","","1"
