"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бууцагаан","3","2","2","2","5","2","5","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Галуут","7","9","3","3","2","4","7","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Гурванбулаг","2","1","1","1","2","1","4","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалант","8","4","1","1","","","4","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жинст","4","1","","6","3","3","7","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Заг","1","1","","1","2","3","","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өлзийт","6","2","6","3","3","6","4","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хүрээмарал","1","","1","","3","","","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Шинэжинст","2","1","","1","3","1","4","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэцогт","3","4","2","3","3","3","3","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Архангай","143","116","116","162","170","137","173","162"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэбулган","71","65","54","58","81","55","82","66"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Батцэнгэл","8","3","1","13","6","5","6","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булган","2","2","3","17","6","6","4","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалант","","1","5","41","2","1","1","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ихтамир","10","6","5","1","19","6","10","14"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өгийнуур","5","3","4","1","6","","3","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өлзийт","2","3","3","6","5","8","4","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өндөр-Улаан","1","2","5","3","4","4","6","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тариат","5","5","3","4","4","2","4","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Төвшрүүлэх","5","5","3","1","5","2","7","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хайрхан","4","","4","2","5","5","8","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хангай","","2","3","1","","","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хашаат","4","1","1","3","4","6","7","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хотонт","8","4","7","1","7","7","8","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цахир","1","1","","3","1","1","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэнхэр","11","8","7","1","3","13","8","15"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэцэрлэг","2","2","4","2","2","6","2","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Чулуут","","2","3","1","10","3","5","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэмандал","4","1","1","3","","7","5","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хөвсгөл","198","167","185","184","227","239","247","276"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Мөрөн","97","80","72","77","106","118","104","115"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алаг-Эрдэнэ","14","8","8","15","16","21","33","18"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Арбулаг","7","9","4","4","5","11","4","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянзүрх","5","3","4","1","3","","1","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бүрэнтогтох","5","2","3","6","6","12","8","13"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Галт","2","5","4","6","9","6","9","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалант","2","1","3","5","9","3","7","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Их-Уул","2","2","9","4","6","1","2","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Рашаант","2","5","4","3","6","5","3","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ренчинлхүмбэ","5","3","2","1","3","5","4","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тариалан","2","2","3","2","2","6","5","11"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тосонцэнгэл","5","5","12","7","7","7","5","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Төмөрбулаг","6","4","18","10","7","10","11","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Түнэл","7","6","17","7","7","8","11","16"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улаан-Уул","8","6","9","8","13","5","5","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ханх","5","6","2","3","1","1","3","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагааннуур","5","2","1","3","3","1","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаан-Уул","4","1","1","9","1","3","3","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаан-Үүр","","2","1","1","1","1","2","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэцэрлэг","1","3","2","3","1","3","8","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Чандмань-Өндөр","5","5","2","3","5","5","7","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Шинэ-Идэр","4","3","1","3","7","5","6",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэбулган","5","4","3","3","3","2","4","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Төвийн бүс","1,190","1,129","1,281","1,355","1,431","1,401","1,409","1,315"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Төв","188","220","231","253","280","262","293","231"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Зуунмод","100","48","11","14","50","50","69","41"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алтанбулаг","4","13","43","43","4","6","10","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Аргалант","2","6","10","5","6","5","5","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Архуст","4","2","5","11","1","2","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Батсүмбэр","5","17","1","5","30","31","20","21"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян","","1","13","17","3","7","11","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баяндэлгэр","1","3","5","10","6","2","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянжаргалан","3","3","3","3","3","1","4","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Өнжүүл","1","","2","1","2","1","4","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянхангай","1","4","3","14","6","2","6","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянцагаан","1","2","2","4","2","6","9","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянцогт","1","3","","3","5","4","4","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянчандмань","9","5","2","8","14","10","14","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Борнуур","5","11","12","12","8","16","14","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бүрэн","2","4","13","11","6","5","4","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дэлгэрхаан","2","4","1","4","7","4","3","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалант","5","15","4","7","8","14","18","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Заамар","13","24","18","8","43","29","30","33"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Лүн","2","5","31","20","9","10","5","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Мөнгөнморьт","1","4","7","11","6","5","3","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өндөрширээт","2","1","4","5","6","2","6","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сүмбэр","3","6","6","6","9","3","5",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сэргэлэн","5","7","5","2","13","15","14","15"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Угтаал","1","7","13","6","9","2","3",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цээл","1","9","8","7","10","3","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэ","5","7","2","8","7","11","15","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэсант","9","9","7","8","7","16","8","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Говьсүмбэр","71","57","78","98","107","92","91","84"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сүмбэр","60","44","64","84","86","68","68","77"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянтал","5","8","5","7","15","6","7","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Шивээговь","6","5","9","7","6","18","16","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сэлэнгэ","299","218","251","255","265","326","250","251"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сүхбаатар","60","51","67","53","67","69","45","50"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алтанбулаг","11","12","18","9","2","12","7","15"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баруунбүрэн","8","1","2","4","5","7","3","4"
